Model,Year,Starting MSRP,Top MSRP,Average MSRP,MPGe Combined
BMW i3 (BEV + REx),2016,43395,47245,45320.00,124
BMWX5 xDrive 40e,2016,54895,100000,77447.50,21
Chevrolet Volt,2016,34000,38400,36200.00,106
Ford C-Max Energi,2016,32500,32500,32500.00,88
Ford Fusion Energi,2016,33900,36605,35252.50,38
Nissan LEAF,2016,28060,37700,32880.00,112
Tesla Model S,2016,71200,81200,76200.00,90
Tesla Model X,2016,90000,150000,120000.00,92
Chevrolet Bolt EV,2017,37495,41780,39637.50,119
Chevrolet Volt,2017,34000,38400,36200.00,106
Ford C-Max Energi,2017,28000,31000,29500.00,95
Ford Fusion Energi,2017,33995,41995,37995.00,97
Nissan LEAF,2017,31545,37655,34600.00,112
Tesla Model S,2017,71000,135000,103000.00,100
Tesla Model X,2017,87000,150000,118500.00,92
Toyota Prius Prime,2017,27965,33965,30965.00,133
Chevrolet Bolt EV,2018,37495,41780,39637.50,119
Chevrolet Volt,2018,34095,38445,36270.00,106
Honda Clarity PHEV,2018,34290,37490,35890.00,114
Nissan LEAF,2018,29990,36200,33095.00,112
Tesla Model 3,2018,46000,64000,55000.00,126
Tesla Model S,2018,74500,135000,104750.00,103
Tesla Model X,2018,"80,700",155000,117850.00,93
Toyota Prius Prime,2018,28000,34000,31000.00,133
,,,,,
,,,,,
,,,,,
,,,,,
Sources:,,,,,
Autotrader.com,,,,,
Edmonds,,,,,
Kelley Blue Book,,,,,